College,Topic,Count,URL
Belk College of Business,supply chain management,4,https:\/\/pages.charlotte.edu\/connections\/links\/supply-chain-management\/
Belk College of Business,Macroeconomics,4,https:\/\/pages.charlotte.edu\/connections\/links\/macroeconomics\/
Belk College of Business,Global marketing,2,https:\/\/pages.charlotte.edu\/connections\/links\/global-marketing\/
Belk College of Business,operations management,2,https:\/\/pages.charlotte.edu\/connections\/links\/operations-management\/
Belk College of Business,financial econometrics,2,https:\/\/pages.charlotte.edu\/connections\/links\/financial-econometrics\/
Belk College of Business,e-commerce,2,https:\/\/pages.charlotte.edu\/connections\/links\/e-commerce\/
Belk College of Business,asset pricing,2,https:\/\/pages.charlotte.edu\/connections\/links\/asset-pricing\/
Belk College of Business,fixed income securities,2,https:\/\/pages.charlotte.edu\/connections\/links\/fixed-income-securities\/
Belk College of Business,corporate finance,2,https:\/\/pages.charlotte.edu\/connections\/links\/corporate-finance\/
Belk College of Business,E-business,2,https:\/\/pages.charlotte.edu\/connections\/links\/e-business\/
Belk College of Business,Tax policy,2,https:\/\/pages.charlotte.edu\/connections\/links\/tax-policy\/
Belk College of Business,quality control,2,https:\/\/pages.charlotte.edu\/connections\/links\/quality-control\/
Belk College of Business,public policy,2,https:\/\/pages.charlotte.edu\/connections\/links\/public-policy\/
Belk College of Business,manufacturing,2,https:\/\/pages.charlotte.edu\/connections\/links\/manufacturing\/
Belk College of Business,financial accounting,2,https:\/\/pages.charlotte.edu\/connections\/links\/financial-accounting\/
Belk College of Business,International economics,2,https:\/\/pages.charlotte.edu\/connections\/links\/international-economics\/
Belk College of Business,quality management,2,https:\/\/pages.charlotte.edu\/connections\/links\/quality-management\/
Belk College of Business,statistics,2,https:\/\/pages.charlotte.edu\/connections\/links\/statistics\/
Belk College of Business,service management,2,https:\/\/pages.charlotte.edu\/connections\/links\/service-management\/
Belk College of Business,service operations,2,https:\/\/pages.charlotte.edu\/connections\/links\/service-operations\/
Belk College of Business,web,1,https:\/\/pages.charlotte.edu\/connections\/links\/web\/
Belk College of Business,networks,1,https:\/\/pages.charlotte.edu\/connections\/links\/networks\/
Belk College of Business,optimal software development methodologies,1,https:\/\/pages.charlotte.edu\/connections\/links\/optimal-software-development-methodologies\/
